id,area,format,behavior,web_evidence,rust_baseline_evidence,rust_snapshot_evidence,extension_evidence,fixture_ids,legacy_result,destination_owner,target_phase,decision,decision_reason,deterministic_test_id,status,notes
FMT-001,format,Zoomify,ImageProperties metadata mapping + TileGroup rollover,zoomify core + multi-group specs,zoomify/mod.rs tile groups;rollover tests,,,web-zoomify-metadata;web-zoomify-groups,TileGroup0/1 boundary exact URLs,dezoomify-core,04,preserve,Core tile math,P04-FIXED-GRID;scenario web/zoomify-groups,inventoried,
FMT-002,format,Zoomify,Viewer-page adapters (flash/fluid/openlayers/unibe/paris/ngv/artandarchitecture),zoomifyCases 11 page specs,zoomify ngv.rs + declaration regexes,,,web-zoomify-pages,all resolve to ImageProperties,dezoomify-core,04,preserve,Page adapters are primary inputs,P04-DISCOVERY;scenario web/zoomify-pages,inventoried,
FMT-003,format,Seadragon,DZI metadata + tile-URL inference + overlap coords,seadragon core + overlap specs,dzi/mod.rs grid;overlap destinations,,,web-dzi-metadata;web-dzi-overlap,overlap offsets (255 not 256),dezoomify-core,04,preserve,Pixel-exact placement,P04-FIXED-GRID;scenario web/dzi-overlap,inventoried,
FMT-004,format,Seadragon,Viewer-page adapters (bl/prado/polona/nla/paris/wdl/embeds),seadragonCases 12 specs,dzi_file.rs + paris.rs,,,web-seadragon-pages,all resolve with data passthrough where defined,dezoomify-core,04,preserve,Page adapters are primary inputs,P04-DISCOVERY;scenario web/seadragon-pages,inventoried,
FMT-005,format,IIIF,info.json levels/tiles/quality mapping,iiif v2/v3 specs,iiif/mod.rs catalog_from_info;tile math,,,web-iiif-info,tile URL regions/sizes exact,dezoomify-core,04,preserve,Core tile math,P04-FIXED-GRID;scenario web/iiif-info,inventoried,
FMT-006,format,IIIF,Manifest/presentation/CONTENTdm/ONB/micrio discovery,iiif manifest + page specs,iiif manifest_types + onb/contentdm/micrio/national_gallery/philadelphia,,,web-iiif-discovery,deferred titles; service priority,dezoomify-core,04,preserve,Discovery breadth,P04-DISCOVERY;scenario web/iiif-discovery,inventoried,
FMT-007,format,IIPImage,FIF metadata + JTL tile indexing,iip spec,iipimage/mod.rs metadata + JTL,,,web-iipimage,JTL level/ordinal exact,dezoomify-core,04,preserve,Core tile math,P04-FIXED-GRID;scenario web/iipimage,inventoried,TopViewer FIF disambiguation covered by DISC-001 order
FMT-008,format,krpano,XML tour parsing with include following,krpano spec,krpano/mod.rs levels + templates,,,web-krpano,level URLs with %l/%x/%y substitution,dezoomify-core,04,preserve,Template substitution must be exact,P04-FIXED-GRID;scenario web/krpano,inventoried,Legacy include loop risk fixed by discovery limits
FMT-009,format,FSI,info metadata + rect tile requests,fsi spec,fsi/mod.rs added in snapshot,a304e43 fsi/mod.rs,,web-fsi,rect geometry exact,dezoomify-core,04,preserve,Snapshot candidate adopted with tests,P04-FIXED-GRID;scenario web/fsi,inventoried,
FMT-010,format,LizardTech,calcrgn metadata + level/center requests,lizardtech spec,lizardtech/mod.rs added,a304e43 lizardtech/mod.rs,,web-lizardtech,lev/cp params exact,dezoomify-core,04,preserve,Snapshot candidate adopted with tests,P04-FIXED-GRID;scenario web/lizardtech,inventoried,
FMT-011,format,VLS,zoom-page ID extraction + tiler paths,vls spec,vls/mod.rs added,a304e43 vls/mod.rs,,web-vls,square tiler path,dezoomify-core,04,preserve,Snapshot candidate adopted with tests,P04-FIXED-GRID;scenario web/vls,inventoried,
FMT-012,format,Hungaricana,layer/file discovery + hash tile auth,hungaricana specs,hungaricana/mod.rs added,a304e43 hungaricana/mod.rs,,web-hungaricana,4 page shapes resolve,dezoomify-core,04,preserve,Snapshot candidate adopted with tests,P04-DISCOVERY;scenario web/hungaricana,inventoried,
FMT-013,format,WMTS,capabilities matrix selection + template tiles,wmts spec,wmts/mod.rs added,a304e43 wmts/mod.rs,,web-wmts,TileMatrix/Col/Row substitution,dezoomify-core,04,preserve,Snapshot candidate adopted with tests,P04-FIXED-GRID;scenario web/wmts,inventoried,
FMT-014,format,ArcGIS,MapServer LOD selection + token preservation,arcgis specs,arcgis/mod.rs added,a304e43 arcgis/mod.rs,,web-arcgis,token kept; f= stripped; tile/level/row/col,dezoomify-core,04,preserve,Snapshot candidate adopted with tests,P04-FIXED-GRID;scenario web/arcgis,inventoried,
FMT-015,format,PNAV,entity page grid + crop params,pnav spec,pnav/mod.rs added,a304e43 pnav/mod.rs,,web-pnav,512 grid with edge mods,dezoomify-core,04,preserve,Snapshot candidate adopted with tests,P04-FIXED-GRID;scenario web/pnav,inventoried,
FMT-016,format,TopViewer,memorix JSON + 5-site detail paths,topviewer specs,topviewer/mod.rs added,a304e43 topviewer/mod.rs,,web-topviewer,server/media resolution per site,dezoomify-core,04,preserve,Snapshot candidate adopted with tests,P04-DISCOVERY;scenario web/topviewer,inventoried,
FMT-017,format,XLimage,info XML + page-number flow,xl prompt spec,xlimage/mod.rs added,a304e43 xlimage/mod.rs,,web-xlimage,cmd=tile URLs; prompt flow becomes explicit choice,dezoomify-core,04,preserve_with_approved_change,Blocking prompt() becomes typed choice,P04-FIXED-GRID;scenario web/xlimage,inventoried,
FMT-018,format,ArtsAndCulture,signed paths + AES-decrypted tiles,arts specs + 403-mismatch fixture,google_arts_and_culture/mod.rs + decryption,,,web-arts-culture,decrypted bytes equal HEADABCDEFGHIJKLMNOPTAIL,dezoomify-core,04,preserve,Crypto vectors are exact,P04-FIXED-GRID;scenario web/arts-culture,inventoried,
FMT-019,format,custom,tiles.yaml single-shot catalogs,tiles.yaml example,custom_yaml/mod.rs + tile_set,,,native-custom-yaml,A Palace catalog with Referer,dezoomify-core,04,preserve,Local-file parity,P04-DISCOVERY;scenario native/custom-yaml,inventoried,
FMT-020,format,bulk_text,bulk URL-list expansion with deferred entries,node bulk n/a,bulk_text/mod.rs + process_bulk,,,native-bulk,BFS expansion; first-image auto-select,dezoomify-native,10,preserve,Bulk is CLI-owned behavior,P10-BULK;scenario native/bulk,inventoried,
FMT-021,format,NYPL,NYPL module removed upstream,none at a304e43,nypl/mod.rs at cb13f0b,nypl/mod.rs deleted at a304e43,,nypl-removed,module absent; inputs yield typed no-candidate,dezoomify-core,04,retire,Upstream removed; no live site reaches it,P04-REGISTRY;scenario core/nypl-removed,inventoried,Requires decision record + phase-14 hold
TILE-001,tile,all,Fixed grids enumerate row-major with edge/overlap clipping,assembly pixels + overlap seam specs,Grid tiles_row_major;leading/trailing math,,,web-assembly;core-grid-geometry,seam pixels exact (254/255),dezoomify-core,04,preserve,Pixel-exact assembly,P04-FIXED-GRID;scenario core/grid-geometry,inventoried,
TILE-002,tile,all,Missing tiles tolerated in display; reported in jobs,assembly missing-tile transparency,ProbeAndOutput role;PartialDownload,,,web-assembly-missing,transparent pixel; missing list,dezoomify-job,06,preserve,Display vs job semantics differ by design,P06-PARTIAL;scenario job/missing-tiles,inventoried,
TILE-003,tile,all,Format-generated headers with user precedence; Referer injection,query-param specs;custom Referer,native effective_request_headers;Grid Referer,,,web-query-params;native-headers,CLI Referer beats grid default,dezoomify-native,10,preserve,Header precedence is user-visible,P10-HEADERS;scenario native/headers,inventoried,
TILE-004,tile,all,Tile retry then typed failure (browser 5x; native configurable),addTile retry code;cli retries,TileDownloader exp-backoff;retry_delay,,,web-retry;native-retry,exhaustion yields stable error,dezoomify-job,06,preserve,Retry policy is engine-owned,P06-RETRY;scenario job/retry,inventoried,Legacy implicit-global nextTime bug not reproduced
ADAPT-001,adaptive,generic,Probe order/bounds/termination match,7-shape probing specs,DiscoverableGrid dichotomy,,,web-generic-probing,exact dimensions per shape,dezoomify-core,04,preserve,Deterministic probing,P04-ADAPTIVE;scenario web/generic-probing,inventoried,
ADAPT-002,adaptive,generic,1x1 placeholder counts as missing not output,placeholder.svg spec,probe_succeeded role+size rule,,,web-generic-placeholder,512x512 with placeholder skipped,dezoomify-core,04,preserve,Placeholder semantics,P04-ADAPTIVE;scenario web/generic-placeholder,inventoried,
HTTP-001,http,all,Metadata via classified automatic proxy fallback only; tiles never proxied,legacy silent-proxy code (replaced),n/a (native direct),,,web-direct-success;web-proxy-fallback;web-proxy-optout;web-tile-no-proxy,direct-first; proxy only after classified CORS/network failure on eligible metadata; zero tile proxy,dezoomify-native+apps/web,09,preserve_with_approved_change,Approved transport policy replaces silent behavior,P09-PROXY-POLICY;scenario website/proxy-fallback,inventoried,
HTTP-002,http,all,No cookies/Authorization/credentials on either proxy hop,legacy &cookies= accumulation (retired),cache excludes secrets,,,web-proxy-redaction;native-redaction,request logs show zero secrets,dezoomify-native+apps/web,09,preserve_with_approved_change,Credential hygiene is release-blocking,P09-PROXY-POLICY;scenario website/proxy-redaction,inventoried,
HTTP-003,http,all,Redirects revalidated per hop; scope escape strips auth,proxy manual-redirect loop (replaced),native redirect header rebuild,,,native-redirect-escape,cross-origin redirect drops auth,dezoomify-native,10,preserve,Redirect leakage is a security boundary,P10-REDIRECT;scenario native/redirect,inventoried,
HTTP-004,http,all,Bounded concurrency/queues/retries with deterministic progress,browser 200ms stagger;cli -n16,TileDownloader bounds;Throttler,,,native-bounds,peak counters never exceed config,dezoomify-native,10,preserve,Resource bounds are tested,P10-BOUNDS;scenario native/bounds,inventoried,
HTTP-005,http,all,Persistent tile cache with resume + integrity,no browser cache legacy,native cache hashed+legacy paths,,,native-cache-resume,valid tiles not re-requested; no secrets cached,dezoomify-native,10,preserve,Resume correctness,P10-CACHE;scenario native/cache-resume,inventoried,
UI-001,ui,all,Source input + hash prefill without auto-open,browser-init.js behavior,,,,web-input-init,hash prefills; user starts job,packages/shared-ui,09,preserve,Input semantics,P09-UI;scenario website/input,inventoried,
UI-002,ui,all,Image/level selection with explicit choice,selector radios;findMaxZoom,choose_image/choose_level pickers,,,web-selection,picker order matches catalog,packages/shared-ui,09,preserve,Selection order,P09-UI;scenario website/selection,inventoried,
UI-003,ui,all,Deterministic progress by phase with monotonic counts,500ms poll;phase texts,DownloadState + ProgressManager,,,web-progress,completed/active/queued/failed/total,packages/shared-ui,09,preserve,Progress honesty,P09-UI;scenario website/progress,inventoried,
UI-004,ui,all,Typed errors with stable codes + recovery actions,first-error-wins panel;issue links,ZoomError variants;NoTile/Partial,,,web-errors,every code has wording + action,dezoomify-protocol+packages/shared-ui,05,preserve,Error contract,P05-ERRORS;scenario website/errors,inventoried,
UI-005,ui,all,Canvas limits with preflight native handoff,268MP silent downscale,output size validation,,,web-too-large,oversize offers native before tiles,packages/shared-ui,09,preserve_with_approved_change,Silent downscale becomes explicit preflight,P09-UI;scenario website/too-large,inventoried,
UI-006,ui,all,Completion save flow with tainted-canvas guards,toBlob Save-image/finished paths,encoder finalize,,,web-save;web-tainted-display,originClean=false blocks programmatic save only,packages/browser-runtime,08,preserve,Taint guards are security boundary,P08-TAINT;scenario browser/tainted-display,inventoried,
UI-007,ui,all,Plain-language app-choice guidance from capabilities,handoff nav copy (extension/desktop/donate),capability negotiation,,,website-guidance,recommends only available apps; no jargon,packages/shared-ui,09,preserve,Honest guidance,P09-UI;scenario website/guidance,inventoried,
UI-008,ui,all,Failure presentation with progressive disclosure,error panel + diagnostics,structured error context,,,website-access-denied-guidance,first message names next action; diagnostics redacted,packages/shared-ui,09,preserve,Message tiers,P09-UI;scenario website/failure-tiers,inventoried,
CLI-001,cli,all,Stable args/help/version/exit codes,node CLI usage,native arguments.rs (-n/-r/-H/--tile-cache/--bulk),,,native-cli-basics,help/version/exit snapshots,apps/cli,10,preserve,CLI contract,P10-CLI;scenario cli/basics,inventoried,
CLI-002,cli,all,Non-interactive selection policies + JSON events,node smoke 3 cases,choose_image/level rules;bulk largest,,,cli-noninteractive,explicit policies required headless,apps/cli,10,preserve,Scripting safety,P10-CLI;scenario cli/noninteractive,inventoried,
CLI-003,cli,all,Signal handling with atomic cleanup,n/a,native signal handling,,,cli-signals,no partial output reported; temp policy,apps/cli,10,preserve,Interruption safety,P10-CLI;scenario cli/signals,inventoried,
OUT-001,output,all,PNG/JPEG/ZIF-TIFF/IIIF encoders with pixel parity,assembly pixels;expected_result files,encoder/ canvas/retile/pixel_streamer,,,native-encoders,dimensions/pixels per format,dezoomify-native,10,preserve,Encoder correctness,P10-ENCODERS;scenario native/encoders,inventoried,
OUT-002,output,all,Atomic output naming with collision policy,dezoomed.jpg default,get_outname dedup;reserve_output_file,,,cli-output-names,existing file unchanged without approval,apps/cli,10,preserve,No silent overwrite,P10-CLI;scenario cli/output-names,inventoried,
OUT-003,output,all,Partial policy fail/keep/prompt with missing-tile list,none (fatal-only legacy),PartialDownload;AwaitingPartialDecision,,,job-partial,kept partial marked; metadata failures never partial,dezoomify-job,06,preserve,Partial honesty,P06-PARTIAL;scenario job/partial,inventoried,
EXT-001,extension,all,Positive recognition for 11 URL shapes,,n/a (core has own rules),url-recognition.js:11 positives,11 positive tests,ext-positives,canonical URLs exact,apps/extension,12,preserve,Recognition contract,P12-RECOGNITION;scenario extension/positives,inventoried,
EXT-002,extension,all,Negative recognition incl retired formats + self-URL,,,,negatives (.pff/p.xml/rijks/self),ext-negatives,undefined for all four,apps/extension,12,retire,Retired recognizers stay negative with tests,P12-RECOGNITION;scenario extension/negatives,inventoried,Removal approved upstream (#80); deletion gated to phase 14
EXT-003,extension,all,Query stripping/canonicalization rules,,,,META_REPLACE 7 rules,ext-canonicalization,exact rewrites per shape,apps/extension,12,preserve,Canonicalization stability,P12-RECOGNITION;scenario extension/canonicalization,inventoried,
EXT-004,extension,all,Explicit-action finite scan with one reload + cleanup,,,,background click/listener code,ext-scan-lifecycle,one reload; zero listeners after settle,apps/extension,12,preserve,No background surveillance,P12-SCAN;scenario extension/scan,inventoried,
EXT-005,extension,all,Browser-session fetch under granted origin; never proxy,,,,background fetch + no-proxy invariant,ext-authenticated-fetch,cookies only to granted origin; zero proxy,dezoomify-native+apps/extension,12,preserve,Session fetch is the only credential path,P12-FETCH;scenario extension/authenticated-fetch,inventoried,
EXT-006,extension,all,Website/deep-link handoff as bounded untrusted input,,,,handoff DEZOOMIFY_URL shape,ext-handoff,validation + confirmation required,apps/extension,12,preserve,Handoff trust boundary,P12-HANDOFF;scenario extension/handoff,inventoried,
EXT-007,extension,all,Native cookie handoff with explicit scoped consent,,EphemeralAuthorization (phase-10 path),,none (new capability),ext-cookie-handoff,one-use; memory-only; redacted,apps/desktop+apps/extension,12,preserve,Consent-gated secrets,P12-COOKIE;scenario extension/cookie-handoff,inventoried,
EXT-008,extension,all,Narrow permissions; no permanent all-urls,,,,manifest MV2 all_urls (legacy),ext-manifest,optional per-origin; policy test,apps/extension,12,preserve_with_approved_change,Least privilege tightens legacy,P12-MANIFEST;scenario extension/manifest,inventoried,
SEC-001,security,all,Proxy allowlist: methods/schemes/ports/sizes/time/redirects,functions/proxy.js open relay (replaced),,,,web-proxy-security,private/loopback denied; bounds enforced,apps/web,09,preserve_with_approved_change,Open relay must not ship,P09-PROXY-POLICY;scenario website/proxy-security,inventoried,
SEC-002,security,all,Ordinary display stays visible when tainted; only programmatic save blocked,finished-status path,originClean model,,,browser-tainted,SecurityError only in controlled read; app makes zero read attempts,packages/browser-runtime,08,preserve,Taint semantics,P08-TAINT;scenario browser/tainted-display,inventoried,
SEC-003,security,all,Redaction of secrets in errors/logs/telemetry/cache keys,cookie query leakage (retired),redaction in errors,,,redaction-scan,zero canary matches,dezoomify-native+packages,13,preserve,Secret hygiene,P13-SECRETS;scenario security/redaction,inventoried,
SEC-004,security,all,Native Messaging sender auth via manifest IDs; nonce only anti-replay,none (new),phase-11/12 design,,,native-messaging-auth,foreign IDs rejected pre-channel,apps/desktop+apps/extension,12,preserve,Auth correctness,P12-NM;scenario native-messaging/auth,inventoried,
SEC-005,security,all,Extension scan bounded: no rearm on reload; worker restart idle,background rearm gaps (reviewed),,,,ext-scan-bounds,no reload-triggered scan; idle restart,apps/extension,12,preserve,Surveillance limits,P12-SCAN;scenario extension/scan-bounds,inventoried,
